                    component htbin njetbin mhtbin   xi     n  nvar
   QCD_HT300to500_madgraphMLM   800       2    130 0.25     0     0
   QCD_HT300to500_madgraphMLM   800       2    130  0.4     0     0
   QCD_HT300to500_madgraphMLM   800       2    200    0     0     0
   QCD_HT300to500_madgraphMLM   800       2    200 0.15     0     0
   QCD_HT300to500_madgraphMLM   800       2    200  0.2     0     0
   QCD_HT300to500_madgraphMLM   800       2    200  0.3     0     0
   QCD_HT300to500_madgraphMLM   800       2    400  0.2     0     0
   QCD_HT300to500_madgraphMLM   800       3    130    0     0     0
   QCD_HT300to500_madgraphMLM   800       3    130 0.05     0     0
   QCD_HT300to500_madgraphMLM   800       3    130  0.1     0     0
   QCD_HT300to500_madgraphMLM   800       3    130 0.15     0     0
   QCD_HT300to500_madgraphMLM   800       3    130  0.2     0     0
   QCD_HT300to500_madgraphMLM   800       3    130 0.25     0     0
   QCD_HT300to500_madgraphMLM   800       3    130  0.3     0     0
   QCD_HT300to500_madgraphMLM   800       3    130 0.35     0     0
   QCD_HT300to500_madgraphMLM   800       3    130  0.4     0     0
   QCD_HT300to500_madgraphMLM   800       3    130  0.5     0     0
   QCD_HT300to500_madgraphMLM   800       3    200    0     0     0
   QCD_HT300to500_madgraphMLM   800       3    200 0.05     0     0
   QCD_HT300to500_madgraphMLM   800       3    200  0.1     0     0
   QCD_HT300to500_madgraphMLM   800       3    200  0.3     0     0
   QCD_HT300to500_madgraphMLM   800       3    200  0.4     0     0
   QCD_HT300to500_madgraphMLM   800       3    400  0.2     1     1
   QCD_HT300to500_madgraphMLM   800       3    400 0.25     0     0
   QCD_HT300to500_madgraphMLM   800       3    400  0.3     0     0
   QCD_HT300to500_madgraphMLM   800       3    800  0.2     0     0
   QCD_HT300to500_madgraphMLM   800       6    130    0     0     0
   QCD_HT300to500_madgraphMLM   800       6    130 0.05     0     0
   QCD_HT300to500_madgraphMLM   800       6    130  0.1     0     0
   QCD_HT300to500_madgraphMLM   800       6    130  0.2     0     0
   QCD_HT300to500_madgraphMLM   800       6    200    0     0     0
   QCD_HT300to500_madgraphMLM   800       6    400  0.2     0     0
   QCD_HT300to500_madgraphMLM  1200       3    400  0.2     0     0
   QCD_HT500to700_madgraphMLM   200       2    130    0   693   693
   QCD_HT500to700_madgraphMLM   200       2    130 0.05   468   468
   QCD_HT500to700_madgraphMLM   200       2    130  0.1   284   284
   QCD_HT500to700_madgraphMLM   200       2    130 0.15   150   150
   QCD_HT500to700_madgraphMLM   200       2    130  0.2    92    92
   QCD_HT500to700_madgraphMLM   200       2    130 0.25    52    52
   QCD_HT500to700_madgraphMLM   200       2    130  0.3    29    29
   QCD_HT500to700_madgraphMLM   200       2    130 0.35    12    12
   QCD_HT500to700_madgraphMLM   200       2    130  0.4     7     7
   QCD_HT500to700_madgraphMLM   200       2    130 0.45     3     3
   QCD_HT500to700_madgraphMLM   200       2    130  0.5     1     1
   QCD_HT500to700_madgraphMLM   200       2    130 0.55     3     3
   QCD_HT500to700_madgraphMLM   200       2    130  0.6     1     1
   QCD_HT500to700_madgraphMLM   200       2    130 0.65     0     0
   QCD_HT500to700_madgraphMLM   200       2    130  0.7     2     2
   QCD_HT500to700_madgraphMLM   200       2    130 0.75     6     6
   QCD_HT500to700_madgraphMLM   200       2    130  0.8     0     0
   QCD_HT500to700_madgraphMLM   200       2    200    0    74    74
   QCD_HT500to700_madgraphMLM   200       2    200 0.05    38    38
   QCD_HT500to700_madgraphMLM   200       2    200  0.1    15    15
   QCD_HT500to700_madgraphMLM   200       2    200 0.15    10    10
   QCD_HT500to700_madgraphMLM   200       2    200  0.2     4     4
   QCD_HT500to700_madgraphMLM   200       2    200 0.25     4     4
   QCD_HT500to700_madgraphMLM   200       2    200  0.3     0     0
